job_id,release_time,deadline,origin,destination,priority
J001,6300,9900,L02,L10,2
J002,6300,9900,L02,L10,2
J003,6300,9900,L02,L10,2
J004,6300,9900,L02,L10,2
J005,6300,9900,L02,L10,2
J006,6300,9900,L02,L10,2
J007,6300,9900,L02,L10,2
J008,6300,9900,L01,L10,2
J009,6300,9900,L01,L10,2
J010,6300,9900,L01,L10,2
J011,9900,11700,L10,L05,1
J012,9900,11700,L10,L05,1
J013,9900,11700,L10,L05,1
J014,9900,11700,L10,L05,1
J015,10800,11700,L15,L08,2
J016,10800,11700,L15,L08,2
J017,10800,11700,L15,L08,2
J018,10800,11700,L15,L08,2
J019,11700,12600,L10,L06,2
J020,11700,12600,L10,L06,2
J021,11700,12600,L10,L06,2
J022,11730,12600,L10,L07,2
J023,12600,14400,L02,L10,2
J024,12600,14400,L02,L10,2
J025,12600,14400,L02,L10,2
J026,12600,14400,L02,L10,2
J027,12600,14400,L02,L10,2
J028,12600,14400,L02,L10,2
J029,13500,14400,L01,L10,2
J030,13500,14400,L01,L10,2
J031,14400,14700,L11,L08,2
J032,14400,14700,L11,L08,2
J033,14400,16200,L08,L13,2
J034,14400,16200,L08,L13,2
J035,14400,16200,L08,L13,2
J036,14400,16200,L08,L13,2
J037,14400,16200,L08,L13,2
J038,14400,16200,L08,L13,2
J039,14400,16200,L08,L13,2
J040,14400,16200,L08,L13,2
J041,14400,14700,L12,L08,1
J042,14400,14700,L12,L08,1
J043,15900,16800,L10,L06,2
J044,15930,16800,L10,L07,2
J045,16200,17100,L15,L10,2
J046,16200,17100,L15,L10,2
J047,16200,17100,L15,L10,2
J048,16200,17100,L15,L10,2
J049,16200,17100,L15,L10,2
J050,16200,19800,L02,L08,2
J051,16200,19800,L02,L08,2
J052,16200,19800,L02,L08,2
J053,16200,19800,L02,L08,2
J054,16200,19800,L02,L08,2
J055,16200,19800,L02,L08,2
J056,16200,19800,L02,L08,2
J057,16200,19800,L01,L08,2
J058,16200,19800,L01,L08,2
J059,16200,19800,L01,L08,2
J060,19800,21600,L08,L05,1
J061,19800,21600,L08,L05,1
J062,19800,21600,L08,L05,1
J063,19800,21600,L08,L05,1
J064,20700,21600,L15,L10,2
J065,20700,21600,L15,L10,2
J066,20700,21600,L15,L10,2
J067,20700,21600,L15,L10,2
J068,21600,22500,L08,L06,2
J069,21600,22500,L08,L06,2
J070,21600,22500,L08,L06,2
J071,21630,22500,L08,L07,2
J072,22500,24300,L02,L08,2
J073,22500,24300,L02,L08,2
J074,22500,24300,L02,L08,2
J075,22500,24300,L02,L08,2
J076,22500,24300,L02,L08,2
J077,22500,24300,L02,L08,2
J078,23400,24300,L01,L08,2
J079,23400,24300,L01,L08,2
J080,24300,24600,L11,L10,2
J081,24300,24600,L11,L10,2
J082,24300,26100,L10,L13,2
J083,24300,26100,L10,L13,2
J084,24300,26100,L10,L13,2
J085,24300,26100,L10,L13,2
J086,24300,26100,L10,L13,2
J087,24300,26100,L10,L13,2
J088,24300,26100,L10,L13,2
J089,24300,26100,L10,L13,2
J090,24300,24600,L12,L10,1
