job_id,release_time,deadline,origin,destination,priority
J001,16200,17100,L15,L10,2
J002,16200,17100,L15,L10,2
J003,16200,17100,L15,L10,2
J004,16200,17100,L15,L10,2
J005,16200,19800,L02,L08,2
J006,16200,19800,L02,L08,2
J007,16200,19800,L02,L08,2
J008,16200,19800,L01,L08,2
J009,16200,19800,L01,L08,2
J010,16200,19800,L01,L08,2
J011,19800,21600,L08,L05,1
J012,19800,21600,L08,L05,1
J013,19800,21600,L08,L05,1
J014,19800,21600,L08,L05,1
J015,20700,21600,L15,L10,2
J016,20700,21600,L15,L10,2
J017,20700,21600,L15,L10,2
J018,20700,21600,L15,L10,2
J019,20700,21600,L12,L08,1
J020,20700,21600,L12,L08,1
J021,20700,21600,L12,L08,1
J022,21600,22500,L08,L06,2
J023,21600,22500,L08,L06,2
J024,21600,22500,L08,L06,2
J025,21630,22500,L08,L07,2
J026,22500,24300,L02,L08,2
J027,22500,24300,L02,L08,2
J028,22500,24300,L02,L08,2
J029,22500,24300,L02,L08,2
J030,22500,24300,L02,L08,2
J031,22500,24300,L02,L08,2
J032,23400,24300,L01,L08,2
J033,23400,24300,L01,L08,2
J034,24300,24600,L11,L10,2
J035,24300,24600,L11,L10,2
J036,24300,26100,L10,L13,2
J037,24300,26100,L10,L13,2
J038,24300,26100,L10,L13,2
J039,24300,26100,L10,L13,2
J040,24300,26100,L10,L13,2
J041,24300,24600,L12,L10,1
J042,24300,24600,L12,L10,1
J043,24300,24600,L12,L10,1
J044,25800,26700,L08,L06,2
J045,25830,26700,L08,L07,2
J046,26100,27000,L15,L08,2
J047,26100,27000,L15,L08,2
J048,26100,27000,L15,L08,2
J049,26100,27000,L15,L08,2
J050,26100,27000,L15,L08,2
J051,26100,29700,L02,L10,2
J052,26100,29700,L02,L10,2
J053,26100,29700,L02,L10,2
J054,26100,29700,L01,L10,2
J055,26100,29700,L01,L10,2
J056,26100,29700,L01,L10,2
J057,29700,31500,L10,L05,1
J058,29700,31500,L10,L05,1
J059,29700,31500,L10,L05,1
J060,29700,31500,L10,L05,1
J061,30600,31500,L15,L08,2
J062,30600,31500,L15,L08,2
J063,30600,31500,L15,L08,2
J064,30600,31500,L15,L08,2
J065,30600,31500,L12,L10,1
J066,30600,31500,L12,L10,1
J067,30600,31500,L12,L10,1
J068,31500,32400,L10,L06,2
J069,31500,32400,L10,L06,2
J070,31500,32400,L10,L06,2
J071,31530,32400,L10,L07,2
J072,32400,34200,L02,L10,2
J073,32400,34200,L02,L10,2
J074,32400,34200,L02,L10,2
J075,32400,34200,L02,L10,2
J076,32400,34200,L02,L10,2
J077,32400,34200,L02,L10,2
J078,33300,34200,L01,L10,2
J079,33300,34200,L01,L10,2
J080,34200,34500,L11,L08,2
J081,34200,34500,L11,L08,2
J082,34200,36000,L08,L14,2
J083,34200,36000,L08,L14,2
J084,34200,36000,L08,L14,2
J085,34200,36000,L08,L14,2
J086,34200,36000,L08,L14,2
J087,34200,34500,L12,L08,1
J088,34200,34500,L12,L08,1
J089,34200,34500,L12,L08,1
J090,35700,36600,L10,L06,2
J091,35730,36600,L10,L07,2
J092,36000,36900,L15,L10,2
J093,36000,36900,L15,L10,2
J094,36000,36900,L15,L10,2
J095,36000,36900,L15,L10,2
J096,36000,36900,L15,L10,2
J097,40500,41400,L15,L10,2
J098,40500,41400,L15,L10,2
J099,40500,41400,L15,L10,2
J100,40500,41400,L15,L10,2
J101,44100,44400,L11,L10,2
J102,44100,44400,L11,L10,2
J103,44100,45900,L10,L14,2
J104,44100,45900,L10,L14,2
J105,44100,45900,L10,L14,2
J106,44100,45900,L10,L14,2
J107,44100,45900,L10,L14,2
J108,44100,44400,L12,L10,1
J109,44100,44400,L12,L10,1
J110,44100,44400,L12,L10,1
